abster-se； abstain/棄權； v. r.；Nas assembleias, muitos cidadãos decidiram abster-se da votação.; de
ancinhar；用耙子/辛苦賺取；verbo transitivo；O agricultor ancinhou as folhas secas do jardim.；
andainne；腳手架；substantivo masculino；Os operários montaram o andainne para pintar a fachada do edifício.；
anelar；渴望/希冀；verbo transitivo；O povo anelava por mudanças há muito prometidas.；anelar por
anexação；合併/吞併；substantivo feminino；A anexação do território foi contestada internacionalmente.；
angariar；籌集/招攬；verbo transitivo；A instituição angariou fundos para construir um novo hospital.；
angústia；痛苦/苦惱；substantivo feminino；A angústia existencial é tema central na obra de Kierkegaard.；
animosidade；敵意/怨恨；substantivo feminino；A animosidade entre os dois países diminuiu após o tratado de paz.；
aniquilar；消滅/毀滅；verbo transitivo；O exército aniquilou as forças inimigas.；
anistia；大赦；substantivo feminino；A anistia foi concedida aos presos políticos.；
anormalidade；異常/反常；substantivo feminino；Os exames não revelaram qualquer anormalidade no paciente.；
antagónico；對立的；adjetivo；As duas teorias são antagónicas e irreconciliáveis.；
antecedência；提前/預先；substantivo feminino；Os convites foram enviados com grande antecedência.；
antepor；置於前/優先考慮；verbo transitivo；Ele antepôs o bem-estar da família à carreira profissional.；
anteprojeto；草案/初步計劃；substantivo masculino；O anteprojeto da lei foi debatido na assembleia.；
antever；預見/預料；verbo transitivo；Ninguém conseguiu antever as consequências da decisão.；
antipatia；反感/厭惡；substantivo feminino；Senti uma antipatia imediata pelo novo colega.；
antiquado；過時的/陳舊的；adjetivo；Os métodos de ensino dele são antiquados e pouco eficazes.；
antropófago；食人族的；adjetivo；As lendas falavam de tribos antropófagas na região amazónica.；
anuência；同意/許可；substantivo feminino；A obra só começou com a anuência do proprietário.；
anuir；同意/順從；verbo transitivo；O conselho anuiu à proposta apresentada.；anuir a
apadrinhar；贊助/支持；verbo transitivo；O escritor famoso apadrinhou o lançamento do livro do jovem autor.；
apagar；熄滅/刪除；verbo transitivo；O incêndio apagou-se depois da intervenção dos bombeiros.；apagar-se
apartar；分開/隔離；verbo transitivo；O árbitro apartou os jogadores que estavam a discutir.；apartar-se de
apatia；冷漠/無精打采；substantivo feminino；A apatia dos eleitores preocupa os analistas políticos.；
apear；下車/下馬；verbo transitivo；O cavaleiro apeou-se para descansar os cavalos.；apear-se de
aperceber；察覺/準備；verbo transitivo；Apercebi-me do erro quando já era tarde demais.；aperceber-se de
aperrear；折磨/煩擾；verbo transitivo；O cão aperreava o gato sem descanso.；
apetrechar；裝備/配備；verbo transitivo；A oficina foi apetrechada com as ferramentas mais modernas.；
apinhado；擁擠的/滿的；adjetivo；O autocarro vinha apinhado de passageiros.；apinhado de
apologia；辯護/讚揚；substantivo feminino；O livro é uma apologia da liberdade individual.；
aportar；抵達/貢獻；verbo transitivo；O navio aportou no porto de Lisboa ao amanhecer.；
aprazível；愉悅的/舒適的；adjetivo；O jardim é um local aprazível para ler um livro.；
apreçar；定價/估價；verbo transitivo；O leiloeiro apreçou o quadro em milhares de euros.；
apreender；理解/扣押；verbo transitivo；A polícia apreendeu mercadoria contrafeita no armazém.；
aprendizagem；學習/學徒期；substantivo feminino；A aprendizagem ao longo da vida é essencial no mundo atual.；
apressar；催促/加速；verbo transitivo；Apressei o passo para não perder o comboio.；apressar-se a
aprimorar；改善/精進；verbo transitivo；O atleta aprimorou a técnica com treinos intensivos.；
apropriar；佔用/挪用；verbo transitivo；O funcionário apropriou-se de fundos da empresa ilegalmente.；apropriar-se de
apupar；喝倒采/嘲笑；verbo transitivo；O público apupou o orador durante o discurso.；
aquebrantar；削弱/使疲憊；verbo transitivo；O calor intenso aquebrantou os trabalhadores no campo.；
arbitrariedade；專斷/隨意；substantivo feminino；A arbitrariedade do regime ditatorial foi denunciada internacionalmente.；
arcaboiço；骨架/結構；substantivo masculino；O arcaboiço do edifício é de betão armado.；
arcar；承擔/應付；verbo transitivo；A empresa teve de arcar com os prejuízos do acidente.；arcar com
arquejar；喘氣/掙扎；verbo transitivo；O corredor arquejava após a maratona.；
arrebatar；奪取/迷住；verbo transitivo；A atuação arrebatou o público presente.；
arrebentar；爆裂/破裂；verbo transitivo；O cano arrebentou com a pressão da água.；
arrecadar；收集/徵收；verbo transitivo；O estado arrecadou mais impostos este trimestre.；
arrefecer；冷卻/減退；verbo transitivo；O entusiasmo da equipa arrefeceu após a derrota.；
arrematar；完成/拍賣購得；verbo transitivo；O colecionador arrematou o quadro por um valor recorde.；
arrenegar；否認/遺棄；verbo transitivo；O suspeito arrenega qualquer envolvimento no crime.；arrenegar de
arrepender；後悔/懊悔；verbo pronominal；Arrependeu-se amargamente das palavras que disse.；arrepender-se de
arrolar；列舉/登記；verbo transitivo；O secretário arrolou todos os bens do inventário.；
arrumar；整理/收拾；verbo transitivo；Ela arrumou o quarto antes de sair.；
articulação；關節/表達；substantivo feminino；A articulação das ideias no ensaio é exemplar.；
asadamente；靈巧地/便捷地；advérbio；O artesão manuseava as ferramentas asadamente.；
ascender；上升/晉升；verbo transitivo；Ele ascendeu ao cargo de diretor com muito mérito.；ascender a
ascensão；上升/崛起；substantivo feminino；A ascensão da nova geração de artistas é notável.；
ascético；苦行的/禁慾的；adjetivo；O monge levava uma vida ascética no mosteiro.；
asneira；蠢話/錯誤；substantivo feminino；Dizer aquilo foi uma grande asneira da minha parte.；
assalariado；受薪的/僱員；adjetivo；A população assalariada luta por melhores condições de trabalho.；
assaz；足夠地/相當；advérbio；O trabalho está assaz complicado para ser concluído hoje.；
assegurar；保證/確保；verbo transitivo；O mediador assegurou que o acordo seria cumprido.；
assentamento；定居/記錄；substantivo masculino；O assentamento dos colonos na região ocorreu no século XVIII.；
assentir；同意/贊同；verbo transitivo；O diretor assentiu com a cabeça durante a apresentação.；assentir a
asseverar；斷言/聲稱；verbo transitivo；O testemunha asseverou ter visto o arguido no local do crime.；
assimilar；吸收/理解；verbo transitivo；Os alunos assimilaram rapidamente os conceitos mais complexos.；
assinalar；標明/指出；verbo transitivo；O mapa assinala os locais de interesse histórico.；
assistir；參加/協助；verbo transitivo；Assistimos a uma palestra fascinante sobre astrofísica.；assistir a
associação；協會/聯想；substantivo feminino；A associação de moradores reivindica melhorias no bairro.；
assolar；蹂躪/摧殘；verbo transitivo；A praga assolou as plantações de milho na região.；
assombrar；使驚恐/使讚嘆；verbo transitivo；A beleza da paisagem assombrou os visitantes.；
assomo；跡象/爆發；substantivo masculino；Teve um assomo de raiva inesperado durante a reunião.；
assorear；淤積/堵塞；verbo transitivo；O rio está a assorear devido ao desmatamento das margens.；
assumir；假設/承擔；verbo transitivo；O governo assumiu a responsabilidade pelo desastre ambiental.；
astúcia；狡猾/精明；substantivo feminino；A astúcia do negociante permitiu-lhe fechar o melhor negócio.；
atacado；批發的/大量的；adjetivo；O preço ao atacado é significativamente mais baixo.；
atalhar；截斷/阻止；verbo transitivo；O presidente atalhou o discurso do ministro para fazer uma correção.；
atear；點燃/激起；verbo transitivo；O orador ateou a controvérsia com as suas declarações polémicas.；atear-se a
atenazar；折磨/困擾；verbo transitivo；A dúvida atenazava-lhe o pensamento dia e noite.；
atenuação；減輕/緩和；substantivo feminino；O advogado pediu a atenuação da pena com base em atenuantes.；
aterrar；使震驚/著陸；verbo transitivo；A notícia aterrou toda a família.；
aterrorizar；使恐怖/驚嚇；verbo transitivo；O filme de terror aterrorizou as crianças.；
atestar；證明/裝滿；verbo transitivo；O médico atestou a incapacidade do paciente para o trabalho.；
atinar；理解/猜中；verbo transitivo；Ele não atina com a solução do problema.；atinar com
atingir；達到/擊中；verbo transitivo；O país atingiu a maior taxa de desemprego das últimas décadas.；
atmosfera；氣氛/大氣層；substantivo feminino；A atmosfera na sala era tensa durante o anúncio.；
atoar；漂浮/興起；verbo transitivo；O barco atoava suavemente no lago tranquilo.；
atoleimado；愚昧的/愚蠢的；adjetivo；O comentário atoleimado do político causou constrangimento.；
atordoar；使眩暈/使困惑；verbo transitivo；O impacto atordoou o motorista do acidente.；
atormentar；折磨/騷擾；verbo transitivo；A culpa atormentava-o há anos.；
atraiçoar；背叛/出賣；verbo transitivo；O amigo atraiçoou a sua confiança sem hesitação.；
atrapalhar；妨礙/使混亂；verbo transitivo；A burocracia atrapalha o desenvolvimento dos projetos.；
atrevimento；膽量/放肆；substantivo masculino；O atrevimento do jovem funcionário surpreendeu o chefe.；
atribuição；歸因/分配；substantivo feminino；A atribuição dos prémios será feita na cerimónia de encerramento.；
atribulado；充滿磨難的；adjetivo；A vida atribulada do artista inspirou a sua obra mais famosa.；
atrito；摩擦/衝突；substantivo masculino；O atrito entre os departamentos prejudicou o trabalho.；
atroar；轟鳴/震耳；verbo transitivo；Os trovões atroavam o vale durante a tempestade.；
atrocidade；暴行/殘忍；substantivo feminino；As atrocidades da guerra nunca devem ser esquecidas.；
audacioso；大膽的/冒險的；adjetivo；O plano audacioso do empreendedor impressionou os investidores.；
aumentativo；放大詞/增加的；adjetivo；Em português, o sufixo -ão é frequentemente aumentativo.；
auréola；光環/光暈；substantivo feminino；O santo foi retratado com uma auréola dourada na pintura.；
auscultar；聽診/探詢；verbo transitivo；O médico auscultou o paciente com atenção.；
ausência；缺席/缺乏；substantivo feminino；A ausência de provas levou à absolvição do arguido.；
auspiciar；贊助/預示；verbo transitivo；O governo auspiciou a realização do evento cultural.；
autenticar；認證/公證；verbo transitivo；O notário autenticou a assinatura do documento.；
autóctone；本地/原住民；adjetivo；As espécies autóctones devem ser protegidas da invasão de espécies exóticas.；
autonomia；自主/自治；substantivo feminino；A universidade goza de autonomia administrativa e financeira.；
autossuficiente；自給自足的；adjetivo；O país tornou-se autossuficiente na produção de alimentos.；
avaliar；評估/評價；verbo transitivo；O perito avaliou o imóvel em quinhentos mil euros.；
avanço；進步/推進；substantivo masculino；O avanço tecnológico transformou a sociedade nas últimas décadas.；
avareza；吝嗇/貪婪；substantivo feminino；A avareza do milionário era conhecida de todos.；
avassalador；壓倒性的；adjetivo；A popularidade do cantor é avassaladora entre os jovens.；
aventar；提出/猜測；verbo transitivo；O investigador aventou a hipótese de o crime ter sido planeado.；
averiguar；調查/查明；verbo transitivo；A polícia está a averiguar as circunstâncias do acidente.；
aversão；厭惡/反感；substantivo feminino；Ele tem aversão a todo o tipo de violência.；aversão a
aviltar；貶低/侮辱；verbo transitivo；As críticas gratuitas aviltaram o trabalho do artista.；
avivar；使活躍/提醒；verbo transitivo；A chuva avivou as cores do jardim.；
axioma；公理/自明之理；substantivo masculino；O axioma matemático é a base de toda a demonstração.；
azáfama；忙碌/匆忙；substantivo feminino；Na azáfama do dia a dia, esquecemo-nos do que é importante.；
azedume；苦澀/尖酸；substantivo masculino；O azedume nas palavras dela revelava mágoa profunda.；
azia；胃灼熱/苦惱；substantivo feminino；A azia incomodava-o sempre depois das refeições pesadas.；
babalhão；粗心者/笨拙；substantivo masculino；O babalhão derrubou a pilha de livros sem querer.；
bacalhau；鱈魚/典型葡菜；substantivo masculino；O bacalhau é um dos ingredientes mais emblemáticos da cozinha portuguesa.；
badalar；敲鐘/張揚；verbo transitivo；Os sinos badalaram anunciando a festa da aldeia.；
bafejar；吹拂/眷顧；verbo transitivo；A sorte bafejou o atleta na competição decisiva.；
bagageiro；行李架/後備箱；substantivo masculino；Coloque as malas no bagageiro do comboio.；
balanço；平衡/總結；substantivo masculino；O balanço do ano foi positivo para a empresa.；
balbúrdia；混亂/喧囂；substantivo feminino；A balbúrdia na sala de aula impediu a concentração.；
balizar；界定/標記；verbo transitivo；O projeto foi balizado por objetivos claros e mensuráveis.；
baluarte；堡壘/捍衛者；substantivo masculino；A imprensa livre é um baluarte da democracia.；
bambolear；搖擺/晃動；verbo transitivo；O elefante bamboleava-se enquanto caminhava lentamente.；
banal；平庸的/普通的；adjetivo；O discurso do político foi banal e desinspirado.；
banalizar；使平庸/濫用；verbo transitivo；Não devemos banalizar a violência nos meios de comunicação.；
bandear；轉向/叛變；verbo transitivo；O soldado bandeou-se para o lado inimigo durante a guerra.；bandear-se para
barafustar；發怒/吵鬧；verbo transitivo；O cliente barafustou contra o mau atendimento na loja.；
barganha；討價還價/交易；substantivo feminino；A barganha entre os dois países durou meses.；
barreira；障礙/柵欄；substantivo feminino；A barreira linguística foi superada com esforço e dedicação.；
bastonada；棒打/杖擊；substantivo feminino；O prisioneiro sofreu uma violenta bastonada.；
batota；作弊/欺騙；substantivo feminino；O jogador foi expulso por fazer batota.；
bauxita；鋁土礦；substantivo feminino；A bauxita é a principal fonte de alumínio.；
beato；虔誠的/迷信的；adjetivo；A comunidade beata reunia-se na igreja todos os domingos.；
bebedice；醉酒/酗酒；substantivo feminino；A bebedice crónica destruiu a sua vida familiar.；
beberagem；難喝的飲料；substantivo feminino；O xarope era uma beberagem amarga e desagradável.；
beco；死胡同/小巷；substantivo masculino；O beco sem saída simbolizava o impasse nas negociações.；
belicoso；好戰的/挑釁的；adjetivo；O discurso belicoso do líder preocupou a comunidade internacional.；
beneficência；慈善/善行；substantivo feminino；A instituição de beneficência ajudou centenas de famílias carenciadas.；
benigno；良性的/仁慈的；adjetivo；Felizmente, o tumor era benigno e não apresentava riscos.；
benquisto；受歡迎的/喜愛的；adjetivo；O professor era benquisto por todos os alunos da escola.；
berrante；鮮豔的/刺眼的；adjetivo；As cores berrantes do vestido chamavam a atenção de todos.；
bichano；貓/小貓；substantivo masculino；O bichano dormia sossegado ao pé da lareira.；
bifurcar；分叉/分支；verbo transitivo；A estrada bifurca-se mais adiante na floresta.；bifurcar-se em
bigorna；鐵砧/基礎；substantivo feminino；O ferreiro martelava o metal na bigorna.；
bilhardar；閒聊/說閒話；verbo transitivo；As vizinhas bilhardavam no portão durante a tarde.；
bitoque；牛排/典型葡菜；substantivo masculino；O bitoque com ovo a cavalo é um prato típico português.；
blasfémia；褻瀆/咒罵；substantivo feminino；A blasfémia era punida severamente na sociedade medieval.；
blefar；虛張聲勢/唬弄；verbo transitivo；O pugilista blefou para intimidar o adversário.；
blindar；裝甲/保護；verbo transitivo；A empresa blindou os seus sistemas informáticos contra ataques cibernéticos.；
bloqueio；封鎖/阻礙；substantivo masculino；O bloqueio económico afetou a população civil.；
boato；謠言/傳聞；substantivo masculino；O boato espalhou-se rapidamente pela aldeia.；
boçal；粗俗的/無教養的；adjetivo；O comportamento boçal do homem causou constrangimento geral.；
boicote；抵制/杯葛；substantivo masculino；O boicote aos produtos da empresa foi apoiado pelos consumidores.；
bolorento；發霉的/陳舊的；adjetivo；O pão bolorento foi deitado ao lixo.；
bombástico；轟動的/誇張的；adjetivo；O anúncio bombástico do cantor surpreendeu os fãs.；
bonacheirão；好脾氣的/和善的；adjetivo；O avô era um homem bonacheirão e generoso.；
borbulhar；冒泡/沸騰；verbo transitivo；A água borbulhava na panela ao lume.；
bornal；糧袋/行囊；substantivo masculino；O viajante carregava o bornal com mantimentos para a jornada.；
bosquejar；草擬/勾勒；verbo transitivo；O artista bosquejou o retrato antes de o pintar a óleo.；
bracejar；揮臂/掙扎；verbo transitivo；O nadador bracejava com força contra a corrente.；
brandir；揮舞/炫耀；verbo transitivo；O cavaleiro brandiu a espada em sinal de desafio.；
bravata；虛張聲勢/大話；substantivo feminino；As bravatas do jogador não passavam de fanfarronice.；
brecha；裂口/突破；substantivo feminino；A nova tecnologia abriu uma brecha no mercado tradicional.；
breve；簡短的/迅速的；adjetivo；O encontro foi breve mas produtivo.；
bridão；馬勒/束縛；substantivo masculino；O cavaleiro ajustou o bridão ao cavalo antes de montar.；
brincar；玩耍/開玩笑；verbo transitivo；As crianças brincavam no parque até ao anoitecer.；
brindar；乾杯/贈予；verbo transitivo；Brindemos ao sucesso do novo projeto!；brindar a
broca；鑽頭/穿孔；substantivo feminino；O carpinteiro usou uma broca para fazer o furo na madeira.；
bruma；霧/朦朧；substantivo feminino；A bruma matinal cobria o vale como um manto suave.；
bruxulear；閃爍/搖曳；verbo transitivo；A vela bruxuleava ao vento na janela aberta.；
bucho；胃/肚子；substantivo masculino；O bucho do homem roncava de fome.；
bugiganga；小玩意/不值錢的東西；substantivo feminino；A prateleira estava cheia de bugigangas sem valor.；
bulir；觸動/移動；verbo transitivo；Não bulas nos meus documentos, por favor.；
buliçoso；活潑的/騷動的；adjetivo；O miúdo buliçoso não parava quieto um momento.；
buril；雕刻刀/精雕細琢；substantivo masculino；O ourives usou o buril para gravar os detalhes da peça.；
burla；詐騙/欺騙；substantivo feminino；A burla foi descoberta antes de causar grandes prejuízos.；
burocracia；官僚作風；substantivo feminino；A burocracia atrasou a aprovação do projeto por meses.；
caatinga；卡廷加群落；substantivo feminino；A caatinga é um bioma exclusivamente brasileiro.；
cabal；完全的/精通的；adjetivo；O relatório apresenta uma análise cabal da situação atual.；
cacetada；打擊/煩擾；substantivo feminino；O protesto começou com cacetadas da polícia.；
cachimbo；煙斗/煙桿；substantivo masculino；O velho fumava o cachimbo enquanto contava histórias.；
cáfila；駱駝隊/人群；substantivo feminino；Uma cáfila de turistas desembarcou do autocarro.；
cagarola；懦夫/膽小鬼；substantivo masculino；Ele foi chamado de cagarola por não aceitar o desafio.；
caibro；椽子/支架；substantivo masculino；Os caibros do telhado estavam apodrecidos pela humidade.；
calabouço；地牢/監獄；substantivo masculino；O prisioneiro passou anos no calabouço do castelo.；
calafrio；寒顫/恐懼；substantivo masculino；Um calafrio percorreu-lhe a espinha ao ouvir a notícia.；
calamidade；災難/不幸；substantivo feminino；A seca foi uma calamidade para os agricultores da região.；
calçar；穿鞋/填塞；verbo transitivo；Calça os sapatos antes de saíres de casa.；
caligrafia；書法/筆跡；substantivo feminino；A caligrafia do documento era tão bela que parecia uma obra de arte.；
calmaria；平靜/無風；substantivo feminino；Depois da tempestade veio a calmaria.；
calosidade；老繭/麻木；substantivo feminino；As calosidades nas mãos revelavam anos de trabalho duro.；
calúnia；誹謗/中傷；substantivo feminino；A calúnia arruinou a reputação do político inocente.；
camada；層/階層；substantivo feminino；A camada de ozono protege a Terra dos raios ultravioleta.；
cambalear；蹣跚/搖晃；verbo transitivo；O bêbado cambaleava pela rua deserta.；
cambraia；細麻布；substantivo feminino；O lenço de cambraia era bordado à mão.；
camisa-de-onze-varas；複雜局面/困境；substantivo feminino；Meter-se numa camisa-de-onze-varas foi a pior decisão dele.；
campânula；鐘形/罩子；substantivo feminino；A campânula de vidro protegia a planta rara.；
campeão；冠軍/擁護者；substantivo masculino；O campeão defendeu o título com honra e dedicação.；
campear；脫穎而出/盛行；verbo transitivo；A justiça há-de campear sobre a opressão.；
campo；田野/領域；substantivo masculino；O campo da investigação científica está em constante evolução.；
canalha；壞人/流氓；substantivo feminino；O político foi acusado de ser uma canalha sem escrúpulos.；
canalizar；引導/傳輸；verbo transitivo；É preciso canalizar a energia para objetivos produtivos.；
canastra；籃子/牌戲；substantivo feminino；A canastra de vime estava cheia de frutas maduras.；
cancelamento；取消/作廢；substantivo masculino；O cancelamento do voo causou transtornos aos passageiros.；
candeia；油燈/燈盞；substantivo feminino；A candeia iluminava fracamente o quarto escuro.；
candidatar；候選/申請；verbo pronominal；Decidi candidatar-me ao cargo de representante de turma.；candidatar-se a
caneta；筆/鋼筆；substantivo feminino；O escritor nunca saía de casa sem a sua caneta de tinta permanente.；
canga；軛/束縛；substantivo feminino；Os bois puxavam o arado sob a canga pesada.；
cangalha；眼鏡/擔架；substantivo feminino；O velho limpou as cangalhas antes de ler o jornal.；
canja；雞湯/輕而易舉的事；substantivo feminino；Este exame foi canja para quem estudou a sério.；
canoa；獨木舟；substantivo feminino；Os indígenas atravessaram o rio numa canoa escavada em tronco.；
cantoria；歌唱/歌聲；substantivo feminino；A cantoria dos pássaros anunciava o amanhecer.；
canudo；試管/文憑；substantivo masculino；Finalmente recebeu o canudo após anos de estudo.；
caos；混亂/混沌；substantivo masculino；O caos instalou-se na cidade após o terramoto.；
capacho；門墊/諂媚者；substantivo masculino；O funcionário era um capacho do chefe, sempre a concordar com tudo.；
capataz；工頭/監工；substantivo masculino；O capataz gritava ordens aos trabalhadores no campo.；
capcioso；狡猾的/詭辯的；adjetivo；O argumento capcioso do adversário foi desmontado pelo debate.；
capela；小教堂/唱詩班；substantivo feminino；A capela do mosteiro tem vitrais do século XVI.；
capitalismo；資本主義；substantivo masculino；O capitalismo é o sistema económico dominante no mundo ocidental.；
capote；斗篷/大衣；substantivo masculino；O capote de lã protegia-o do frio intenso do inverno.；
captura；捕獲/抓獲；substantivo feminino；A captura do fugitivo foi transmitida em direto na televisão.；
característica；特徵/特性；substantivo feminino；A resiliência é uma característica essencial nos líderes.；
caranguejo；螃蟹/蟹；substantivo masculino；O caranguejo escondeu-se na areia ao ver o predador.；
caravana；車隊/旅行隊；substantivo feminino；A caravana de camelos atravessava o deserto lentamente.；
carbonizar；碳化/燒焦；verbo transitivo；O incêndio carbonizou grande parte da floresta.；
cardápio；菜單/餐牌；substantivo masculino；O cardápio do restaurante oferecia pratos tradicionais portugueses.；
carecer；缺乏/欠缺；verbo transitivo；O projeto carece de financiamento para ser concluído.；carecer de
carência；缺乏/貧困；substantivo feminino；A carência de recursos humanos afeta o serviço público.；
carga；負載/貨物；substantivo feminino；O navio transportava uma carga valiosa de mercadorias.；
caricato；滑稽的/可笑的；adjetivo；A situação caricata fez todos rirem à gargalhada.；
caridade；慈善/仁愛；substantivo feminino；A caridade é uma virtude fundamental em muitas religiões.；
carmim；深紅色的；adjetivo；Os lábios dela estavam pintados de um carmim vibrante.；
carnificina；屠殺/大屠殺；substantivo feminino；A carnificina da guerra deixou marcas profundas na região.；
caroço；核/腫塊；substantivo masculino；O pêssego tem um caroço duro no centro.；
carranca；愁眉苦臉/怒容；substantivo feminino；A carranca do guarda assustava as crianças.；
carreira；職業/跑道；substantivo feminino；Ele dedicou toda a sua carreira à investigação científica.；
carroça；馬車/貨車；substantivo feminino；A carroça puxada por bois transportava feno para o celeiro.；
cártamo；紅花/染料植物；substantivo masculino；O cártamo é cultivado pelas suas sementes oleaginosas.；
casaca；外套/燕尾服；substantivo feminino；O convidado vestia uma casaca preta elegante para o baile.；
casamento；婚姻/結婚；substantivo masculino；O casamento foi celebrado na igreja da vila.；
cascata；瀑布/連鎖；substantivo feminino；A cascata de problemas resolveu-se com uma reunião eficaz.；
caserna；軍營/兵舍；substantivo feminino；Os soldados dormiam na caserna em beliches apertados.；
caso；事件/案例；substantivo masculino；O caso do desaparecimento foi investigado pela polícia.；
cassete；卡帶/盒子；substantivo feminino；A cassete de áudio guardava memórias musicais antigas.；
casta；種姓/階級；substantivo feminino；O sistema de castas ainda existe em algumas sociedades.；
castidade；貞潔/純潔；substantivo feminino；O voto de castidade é obrigatório para os monges daquela ordem.；
castigo；懲罰/處罰；substantivo masculino；O castigo foi justo e proporcional à falta cometida.；
castiço；純粹的/地道的；adjetivo；O fado castiço de Lisboa emociona quem o ouve.；
castrar；閹割/削弱；verbo transitivo；A censura castrou a liberdade criativa dos artistas.；
casualidade；偶然/意外；substantivo feminino；Foi uma mera casualidade encontrar-nos no mesmo voo.；
catalisar；催化/促進；verbo transitivo；A descoberta catalisou uma revolução na medicina moderna.；
catapulta；投石機/彈射器；substantivo feminino；A catapulta medieval lançava pedras enormes contra as muralhas.；
catástrofe；災難/慘劇；substantivo feminino；A catástrofe natural deixou milhares de desalojados.；
catequese；教理/灌輸；substantivo feminino；A catequese das crianças era feita na paróquia local.；
cativar；迷住/吸引；verbo transitivo；O discurso do orador cativou a audiência do início ao fim.；
catorze；十四；numeral；O número catorze é considerado azarado em algumas culturas.；
cauda；尾巴/尾端；substantivo feminino；O cometa deixava uma longa cauda luminosa no céu.；
caução；保證金/擔保；substantivo feminino；O arguido pagou uma caução para aguardar o julgamento em liberdade.；
causa；原因/事業；substantivo feminino；A luta pela justiça social é uma causa nobre.；
cáustico；腐蝕性的/尖刻的；adjetivo；O comentário cáustico do crítico feriu o orgulho do artista.；
cautela；謹慎/小心；substantivo feminino；É preciso agir com cautela em situações de risco.；
caule；莖/主幹；substantivo masculino；O caule da rosa está coberto de espinhos.；
cavar；挖掘/探究；verbo transitivo；O arqueólogo cavou cuidadosamente à procura de vestígios antigos.；
cavilação；詭辯/鑽牛角尖；substantivo feminino；A cavilação do advogado atrasou o julgamento.；
cavoucar；深挖/翻土；verbo transitivo；O agricultor cavoucou a terra antes de plantar as sementes.；
cear；吃晚餐/進食；verbo transitivo；A família reuniu-se para cear juntos na noite de Natal.；
ceder；讓步/讓出；verbo transitivo；O governo cedeu às pressões dos manifestantes.；ceder a
cediço；陳舊的/過期的；adjetivo；O pão cediço foi transformado em farinha de rosca.；
cédula；票證/選票；substantivo feminino；A cédula de votação foi impressa com todos os candidatos.；
cegar；使失明/蒙蔽；verbo transitivo；A raiva cegou-o e fez-lhe tomar decisões erradas.；
celeuma；喧囂/爭論；substantivo feminino；A celeuma nas redes sociais durou dias após o anúncio.；
celibato；獨身/禁慾；substantivo masculino；O celibato sacerdotal é uma tradição na Igreja Católica.；
célula；細胞/小組；substantivo feminino；Cada célula do corpo humano contém informação genética completa.；
cena；場景/舞台；substantivo feminino；A cena final do filme foi emocionante.；
cenário；場景/情境；substantivo masculino；O cenário político atual é de grande incerteza.；
cenho；皺眉/表情；substantivo masculino；O cenho franzido do juiz denotava desaprovação.；
censura；審查/指責；substantivo feminino；A censura à imprensa foi condenada internacionalmente.；
centelha；火花/微光；substantivo feminino；Uma centelha de esperança acendeu-se no coração do povo.；
centralizar；集中/中央化；verbo transitivo；O governo centralizou a administração dos serviços públicos.；
cérebro；大腦/智力；substantivo masculino；O cérebro humano é o órgão mais complexo do corpo.；
cerimónia；儀式/典禮；substantivo feminino；A cerimónia de abertura dos Jogos Olímpicos foi espetacular.；
cerne；核心/精髓；substantivo masculino；O cerne do problema reside na falta de comunicação.；
ceroulas；內褲/長內褲；substantivo feminino plural；As ceroulas de lã protegiam-nos do frio do inverno.；
certame；比賽/競賽；substantivo masculino；O certame literário atraiu escritores de todo o país.；
cerviz；頸背/屈服；substantivo feminino；O orgulho impedia-o de curvar a cerviz perante os inimigos.；
cessar；停止/終止；verbo transitivo；As hostilidades cessaram após a assinatura do tratado de paz.；
cessão；轉讓/讓與；substantivo feminino；A cessão dos direitos de autor foi negociada com a editora.；
cesto；籃子/簍；substantivo masculino；O cesto de vime estava cheio de pão fresco.；
cética；懷疑的；adjetivo；A comunidade científica manteve-se cética quanto aos resultados do estudo.；
chafariz；噴泉/泉源；substantivo masculino；O chafariz da praça central era ponto de encontro dos habitantes.；
chafurdar；打滾/沉迷；verbo transitivo；O porco chafurdava na lama contente.；chafurdar em
chalacear；開玩笑/打趣；verbo transitivo；Os amigos chalaceavam durante o jantar descontraído.；
chamuscar；燒焦/輕微燒傷；verbo transitivo；A camisa ficou chamuscada depois do contato com o ferro.；
chão；地板/土地；substantivo masculino；O chão da cozinha estava tão limpo que refletia a luz.；
chapa；金屬板/車牌；substantivo feminino；A chapa de matrícula do carro estava danificada.；
chapada；巴掌/拍打；substantivo feminino；A chapada ecoou pela sala silenciosa.；
charco；水坑/沼澤；substantivo masculino；Depois da chuva formou-se um charco no caminho.；
charuto；雪茄；substantivo masculino；O velho fumava um charuto cubano enquanto lia o jornal.；
chatear；打擾/煩惱；verbo transitivo；Não me chateies com problemas insignificantes.；
chavalo；年輕人/小子；substantivo masculino；O chavalo ajudou o vizinho idoso com as compras.；
chefe；首領/主管；substantivo masculino；O chefe da equipa liderou o projeto com dedicação.；
chegada；到達/終點；substantivo feminino；A chegada do comboio foi anunciada pelos altifalantes.；
cheirar；聞到/嗅；verbo transitivo；O bolo cheirava tão bem que enchia a casa toda.；
cheque；支票；substantivo masculino；O cheque foi depositado na conta bancária ontem.；
chibata；鞭子/鞭打；substantivo feminino；A chibata era usada como castigo físico no passado.；
